year,city,total_buildings,total_dwellings,build_flow,dwell_flow,value,destruction_share,east_germany,mean_income,median_income,germany_median,distance_internal,dist_increased_5y,dist_to_germany,grow5_index_ann,grow5_hu_ann,p_q5,growth5sum,demand_cutoff,demand_cutoff_lag,inelasticity_cutoff,inelasticity_cutoff_lag,p_q5_lag,growth5sum_lag,superstar,growth_window,superstar_ever
1995,Karlsruhe,511226,1166878,7390,24035,108.74,0.2478,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1995,Köln,119775,479164,10389,30433,92.24,0.7003,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1995,Leipzig,46730,285778,790,3738,NA,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1995,Lübeck,38111,107459,308,1260,104.99,0.1959,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1995,Münster,42893,124850,7972,17951,103.55,0.3931,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1995,Potsdam,11581,64963,1298,3703,NA,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1995,Stuttgart,749134,1658137,9045,31539,109.75,0.2979,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1995,Wiesbaden,33816,129037,129,764,107.14,0.2235,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1996,Berlin,279619,1783610,3946,20179,119.6,0.3703,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1996,Bonn,49998,148111,353,1497,98.28,0.472,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1996,Chemnitz,26936,155206,513,2546,131.26,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1996,Dortmund,82765,290585,579,2233,100.23,0.6583,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1996,Dresden,46049,259959,925,7427,116.94,0.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1996,Duisburg,74068,251080,512,1457,104.78,0.6479,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1996,Düsseldorf,72206,329975,7557,23838,104.05,0.5091,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1996,Erfurt,21721,105459,304,1023,128.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1996,Frankfurt,66595,327702,408,2016,102.53,0.4497,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1996,Hamburg,220028,830997,1522,7564,103.17,0.535,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1996,Karlsruhe,518616,1190913,6247,18497,104.82,0.2478,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1996,Köln,130164,509597,9936,27652,92.37,0.7003,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1996,Leipzig,47520,289516,871,6506,NA,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1996,Lübeck,38419,108719,318,1045,107.46,0.1959,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1996,Münster,50865,142801,6560,14129,101.55,0.3931,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1996,Potsdam,12879,68666,1879,6099,109.42,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1996,Stuttgart,758179,1689676,8220,26831,104.78,0.2979,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1996,Wiesbaden,33945,129801,110,484,98.8,0.2235,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1997,Berlin,283565,1803789,5232,30310,111.94,0.3703,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1997,Bonn,50351,149608,346,1514,97.26,0.472,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1997,Chemnitz,27449,157752,1045,4269,116.91,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1997,Dortmund,83344,292818,536,1769,99.52,0.6583,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1997,Dresden,46974,267386,1337,10730,109.74,0.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1997,Duisburg,74580,252537,601,1640,94.32,0.6479,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1997,Düsseldorf,79763,353813,8234,23788,102.35,0.5091,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1997,Erfurt,22025,106482,549,1948,116.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1997,Frankfurt,67003,329718,419,2290,99.94,0.4497,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1997,Hamburg,221550,838561,1663,6899,99.16,0.535,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1997,Karlsruhe,524863,1209410,6740,16737,102.66,0.2478,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1997,Köln,140100,537249,8771,25194,96,0.7003,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1997,Leipzig,48391,296022,1354,7952,NA,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1997,Lübeck,38737,109764,265,1117,102.25,0.1959,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1997,Münster,57425,156930,7525,15426,98.24,0.3931,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1997,Potsdam,14758,74765,2237,6065,98.96,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1997,Stuttgart,766399,1716507,8706,23294,101.37,0.2979,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1997,Wiesbaden,34055,130285,222,1648,96.12,0.2235,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1998,Berlin,288797,1834099,3759,15520,108.43,0.3703,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1998,Bonn,50697,151122,321,1283,100.92,0.472,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1998,Chemnitz,28494,162021,582,1607,112.63,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1998,Dortmund,83880,294587,483,1551,103.54,0.6583,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1998,Dresden,48311,278116,1181,4917,101.66,0.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1998,Duisburg,75181,254177,460,1290,98.08,0.6479,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1998,Düsseldorf,87997,377601,8770,21939,101.54,0.5091,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1998,Erfurt,22574,108430,469,1196,111.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1998,Frankfurt,67422,332008,509,2625,102.2,0.4497,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1998,Hamburg,223213,845460,1823,6846,99.62,0.535,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1998,Karlsruhe,531603,1226147,7028,15331,103.3,0.2478,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1998,Köln,148871,562443,10901,28178,96.7,0.7003,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1998,Leipzig,49745,303974,916,4159,NA,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1998,Lübeck,39002,110881,235,1348,102.6,0.1959,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1998,Münster,64950,172356,6846,13423,99.6,0.3931,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1998,Potsdam,16995,80830,2180,4314,100.52,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1998,Stuttgart,775105,1739801,9930,22662,108.58,0.2979,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1998,Wiesbaden,34277,131933,271,1254,99.68,0.2235,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1999,Berlin,292556,1849619,3980,10355,105.14,0.3703,0,NA,NA,NA,NA,NA,NA,-0.035366705305033386,0.0087994221360585545,-4.019207711391248,-0.02656728316897483,0.002888146821413251,NA,0.5322569561262933,0.5322569561262933,NA,NA,0,1995-1999,1
